147,Тайшет,Иркутская область,32 671,32 754,33 043,33 364,33 587,33 638,33 836,34 339,34 692,35 384,35 485
148,Трёхгорный,Челябинская область,32 665,32 613,32 715,32 355,32 521,32 540,32 789,33 002,33 262,33 700,33 670
149,Тавда,Свердловская область,32 623,32 932,33 356,33 666,33 957,34 074,34 270,34 615,34 857,35 400,35 421
150,Приморско-Ахтарск,Краснодарский край,32 349,32 180,32 048,31 925,31 987,31 887,31 740,31 921,32 245,32 300,32 257
151,Сланцы,Ленинградская область,32 169,32 337,32 508,32 838,33 037,33 300,33 154,33 249,33 245,33 500,33 485
152,Добрянка,Пермский край,32 072,32 304,32 676,33 083,33 194,33 291,33 395,33 466,33 620,33 700,33 686
153,Шатура,Московская область,32 019,32 384,32 838,33 222,33 412,33 308,33 190,33 109,33 029,32 900,32 885
154,Нурлат,Татарстан,32 014,32 345,32 703,32 954,33 141,33 102,33 267,33 153,32 853,32 623,32 601
155,Слободской,Кировская область,31 980,32 382,32 793,33 115,33 334,33 449,33 490,33 583,33 845,33 970,33 981
156,Вятские Поляны,Кировская область,31 873,32 108,32 562,32 817,33 053,33 338,33 584,33 964,34 505,35 102,35 162
157,Острогожск,Воронежская область,31 829,32 317,32 601,32 714,32 826,32 944,32 833,33 029,33 404,33 800,33 842
158,Тейково,Ивановская область,31 801,32 033,32 511,32 791,33 061,33 276,33 782,34 344,34 588,35 000,34 976
159,Кулебаки,Нижегородская область,31 794,32 076,32 518,32 943,33 280,33 684,34 068,34 494,34 988,35 622,35 759
160,Углич,Ярославская область,31 758,31 861,32 057,32 146,32 321,32 496,32 766,33 273,33 900,34 354,34 507
161,Муравленко,Ямало-Ненецкий АО,31 561,32 132,32 427,32 540,32 649,32 786,33 016,33 247,33 518,33 394,33 391
162,Нововоронеж,Воронежская область,31 540,31 568,31 503,31 607,31 502,31 560,31 721,31 838,32 136,32 600,32 635
163,Дюртюли,Башкортостан,31 021,30 912,30 969,30 858,30 986,30 943,31 152,31 152,31 217,31 300,31 274
164,Великий Устюг,Вологодская область,31 019,31 189,31 475,31 606,31 644,31 806,31 983,31 984,31 906,31 700,30 926
165,Сердобск,Пензенская область,30 939,31 475,32 087,32 554,32 986,33 553,33 992,34 504,34 900,35 268,35 393
166,Маркс,Саратовская область,30 743,31 184,31 488,31 788,31 864,31 870,31 874,31 724,31 592,31 504,31 531
167,Апрелевка,Московская область,30 669,29 147,27 860,26 610,25 205,24 004,22 917,21 289,20 014,18 300,18 349
168,Нарткала,Кабардино-Балкария,30 634,30 832,30 704,30 643,30 497,30 476,30 500,31 037,31 325,31 700,31 694
169,Усть-Джегута,Карачаево-Черкесия,30 559,30 369,30 391,30 438,30 245,29 779,29 665,29 953,30 286,30 600,30 566
170,Зима,Иркутская область,30 515,30 818,30 988,31 229,31 283,31 440,31 523,31 936,32 279,32 485,32 508
171,Ростов,Ярославская область,30 515,30 700,30 969,31 039,30 943,30 824,30 923,31 047,31 368,31 752,31 792
172,Дедовск,Московская область,30 500,30 061,29 738,29 558,29 436,29 480,29 534,29 426,29 345,29 100,29 108
173,Луховицы,Московская область,30 443,30 290,30 228,30 271,30 055,29 893,29 737,29 762,29 814,29 900,29 850
174,Богородицк,Тульская область,30 433,30 772,31 139,31 263,31 379,31 363,31 404,31 554,31 665,31 900,31 897
175,Кудымкар,Пермский край,30 425,30 904,31 370,31 265,31 007,30 739,30 525,30 162,29 561,29 000,28 967
176,Благодарный,Ставропольский край,30 399,30 530,31 100,31 293,31 558,31 720,31 959,32 148,32 435,32 728,32 725
177,Кандалакша,Мурманская область,30 379,30 575,31 329,32 034,32 592,32 945,33 542,34 127,34 713,35 536,35 654
178,Кохма,Ивановская область,30 161,30 220,30 500,30 316,29 770,29 258,29 389,29 405,29 414,29 400,29 411
179,Артёмовский,Свердловская область,30 101,30 366,30 778,30 933,30 944,31 167,31 557,32 011,32 531,33 100,33 160
180,Алушта,Крым[комм. 1],30 088,29 963,29 869,29 668,29 586,29 201,29 078,28 418,28 642,28 919,29 191
181,Можайск,Московская область,30 066,30 056,30 190,30 439,30 413,30 513,30 595,30 736,31 104,31 400,31 363
182,Киров,Калужская область,29 946,30 334,30 520,30 839,30 894,31 039,31 230,31 404,31 603,31 824,31 882
183,Обь,Новосибирская область,29 883,29 739,29 437,29 194,28 913,28 387,27 430,26 792,26 070,25 400,25 382
184,Дагестанские Огни,Дагестан,29 716,29 555,29 401,29 238,28 887,28 669,28 132,28 100,28 125,27 900,27 923
185,Городец,Нижегородская область,29 712,29 854,30 188,30 493,30 530,30 563,30 524,30 570,30 447,30 623,30 658
186,Костомукша,Карелия,29 634,29 367,29 381,29 526,29 511,29 356,29 036,28 716,28 496,28 400,28 436
187,Богданович,Свердловская область,29 294,29 108,29 241,29 311,29 311,29 421,29 659,29 903,30 121,30 700,30 670
188,Советский,Ханты-Мансийский АО,29 293,29 624,29 575,29 456,29 179,28 683,28 087,27 631,27 116,26 500,26 495
189,Касимов,Рязанская область,29 240,29 700,30 243,30 696,30 990,31 494,31 897,32 426,32 860,33 500,33 491
190,Дивногорск,Красноярский край,29 232,29 195,29 246,29 117,29 049,29 115,28 857,28 713,28 473,28 300,28 272
191,Борзя,Забайкальский край,29 225,29 181,28 888,28 874,29 050,29 405,29 822,30 308,30 816,31 400,31 379
192,Кондопога,Карелия,29 218,29 735,30 299,30 802,31 203,31 501,31 646,31 962,32 415,33 000,32 987
193,Губкинский,Ямало-Ненецкий АО,29 161,28 564,27 930,27 238,27 346,27 070,26 214,26 254,25 848,23 681,23 335
194,Аша,Челябинская область,29 066,29 274,29 692,29 946,30 146,30 383,30 714,31 152,31 542,31 838,31 881
195,Славгород,Алтайский край,29 050,29 371,29 916,30 186,30 370,30 591,31 006,31 707,32 337,32 415,32 389
196,Алейск,Алтайский край,28 974,29 249,28 972,28 735,28 528,28 372,28 493,28 825,29 061,29 489,29 510
197,Котовск,Тамбовская область,28 955,29 377,29 999,30 353,30 718,31 136,31 220,31 406,31 611,31 900,31 850
198,Гагарин,Смоленская область,28 866,28 797,29 041,29 285,29 476,29 916,30 230,30 673,31 256,31 700,31 721
199,Ликино-Дулёво,Московская область,28 818,29 036,29 376,29 691,30 069,30 345,30 683,30 927,31 125,31 300,31 321
200,Барабинск,Новосибирская область,28 704,28 786,28 941,29 122,29 307,29 530,29 714,29 895,30 142,30 400,30 394
